46.4	43.2	71.9	31.0	34.3	62.4	35.6	33.9
67.6	65.8	76.8	64.9	60.0	75.7	62.4	57.3
60.7	57.4	66.7	69.6	51.7	63.5	64.3	50.1
59.3	46.3	59.8	75.0	57.1	39.3	75.0	62.5
65.4	60.0	63.3	0	72.0	55.2	0	77.8
49.3	40.9	31.5	71.4	58.9	25.0	59.7	58.8
80.3	89.1	76.0	87.5	86.4	86.7	77.5	95.5
41.1	40.8	40.7	20.4	74.2	40.5	26.5	63.5
59.3	47.0	75.6	57.1	46.9	45.5	62.1	41.5
44.0	39.8	30.3	50.0	50.0	20.8	58.3	42.7
56.6	49.1	32.5	57.1	59.9	20.5	54.2	48.6
67.6	55.6	70.8	46.2	73.5	87.5	55.1	42.1
36.7	37.7	0.0	100.0	81.8	0.0	75.0	89.1
64.8	72.0	58.1	0	90.9	67.4	0	89.6
57.9	48.0	68.3	39.7	63.3	57.2	42.7	45.0
58.4	55.1	96.4	31.2	55.4	71.3	33.4	58.0
75.9	75.7	50.0	82.6	72.7	75.0	87.0	63.3
64.5	69.2	51.4	69.7	69.1	64.5	73.6	69.6
69.0	71.6	0	71.0	66.7	0	77.4	64.9
48.7	47.0	31.1	30.8	67.3	40.0	26.7	55.5
47.7	51.2	85.7	41.5	47.4	100.0	51.8	43.4
56.1	54.7	76.6	44.8	45.5	68.6	59.4	40.2
77.1	90.3	0	75.0	78.9	0	90.1	90.5
60.0	54.8	67.6	48.7	61.7	65.3	48.1	52.7
62.8	40.6	50.9	40.0	73.9	66.1	29.3	34.1
71.4	56.1	66.7	62.5	78.3	100.0	76.6	45.0
59.9	58.6	46.2	66.7	52.2	40.0	68.6	46.5
74.5	72.7	74.0	0	76.0	86.2	0	49.9
41.4	32.3	43.3	50.0	40.0	56.7	12.5	26.3
67.5	48.8	90.8	50.0	38.3	72.3	52.5	28.0
55.3	55.5	64.3	42.9	54.8	53.0	43.7	62.4
91.1	58.1	93.2	0	0.0	58.9	0	0.0
72.7	63.0	62.5	70.6	76.1	62.5	71.7	59.0
68.5	75.2	76.6	22.2	70.6	93.6	13.9	56.7
61.7	61.2	56.9	68.0	64.1	53.2	61.1	71.2
58.1	54.9	77.2	57.1	41.3	57.3	75.6	43.6
78.7	78.9	92.9	0	57.9	81.5	0	75.0
68.5	64.6	76.8	52.2	63.4	76.7	51.9	57.9
61.5	52.6	43.8	72.7	65.8	62.5	78.2	45.1
66.0	56.9	68.0	67.4	63.3	42.4	79.2	67.8
55.5	53.9	65.4	53.5	47.9	57.8	63.2	45.3
64.1	65.4	75.7	68.8	52.6	64.2	87.2	50.4
63.8	57.5	74.7	67.6	48.2	60.9	72.1	49.3
68.0	54.3	85.7	73.1	50.0	61.7	84.6	36.8
57.7	28.9	81.1	0.0	0.0	34.2	0.0	0.0
54.1	58.2	57.7	71.4	46.3	67.7	69.8	49.7
62.4	54.4	100.0	56.6	66.7	46.2	48.7	67.3
54.7	48.7	73.9	57.1	44.3	70.7	45.6	40.3
54.5	61.8	0	58.3	50.0	0	59.1	65.8
79.1	64.2	84.7	0	64.7	61.1	0	76.2
62.2	45.7	100.0	0	46.2	69.6	0	39.5
64.6	59.3	76.9	53.3	50.0	61.8	56.0	55.8
63.4	55.6	57.1	75.0	61.9	54.5	64.6	52.3
50.0	50.6	0.0	70.8	72.4	0.0	64.2	76.4
58.9	52.4	0	58.6	59.5	0	58.6	42.9
65.6	72.1	69.4	63.9	64.7	78.0	77.5	65.9
62.4	60.1	64.7	65.1	59.0	67.4	55.6	55.2
70.7	49.0	78.2	0	43.6	49.3	0	47.4
50.4	49.3	45.2	70.0	49.2	42.1	77.0	49.3
52.6	55.0	100.0	26.1	16.7	94.7	39.1	12.5
80.2	54.0	87.1	0.0	60.0	58.7	0.0	38.2
56.8	47.6	34.4	56.8	77.0	31.8	53.0	58.8
48.2	49.2	41.3	57.1	51.1	38.1	61.0	54.2
63.7	66.6	70.6	53.6	60.0	73.2	62.1	60.6
65.9	60.4	84.2	60.5	60.0	50.5	65.3	58.7
71.1	66.6	83.9	48.5	63.2	69.8	50.9	67.0
81.1	75.0	0.0	86.4	85.7	0.0	89.9	72.5
66.7	78.3	0	25.0	76.5	0	21.4	91.7
58.7	55.6	72.7	53.5	55.6	57.6	56.9	51.9
56.3	53.8	67.2	46.7	46.7	55.9	39.7	62.2
56.9	55.4	26.7	51.7	68.8	36.2	47.5	70.7
64.9	64.9	25.0	63.5	72.1	14.3	66.5	69.3
61.4	56.3	57.1	62.7	64.1	58.4	66.1	51.5
75.3	79.7	0	68.4	82.1	0	74.4	85.7
63.9	67.4	0	60.7	66.3	0	53.0	79.6
55.9	52.3	64.3	49.5	52.8	63.1	52.9	45.5
54.8	58.0	69.0	51.1	55.7	59.4	60.8	55.0
61.1	55.3	57.7	78.2	56.8	50.1	75.7	54.0
62.0	60.1	57.9	61.9	65.3	42.7	74.7	72.0
31.3	31.9	21.7	0	52.4	30.4	0	34.1
47.1	56.5	0.0	50.0	50.0	0.0	57.2	62.8
56.2	57.8	22.6	68.2	77.8	32.3	72.7	68.8
65.3	56.2	19.0	68.6	72.7	14.4	79.6	53.8
72.0	74.3	73.2	74.1	69.4	71.6	83.0	73.5
62.6	74.1	61.1	63.6	61.3	88.9	82.1	48.6
62.3	40.1	65.5	50.0	55.1	37.7	64.3	49.0
67.5	64.7	40.0	68.9	75.0	38.0	74.7	64.2
50.5	52.1	30.0	42.5	66.7	32.7	57.0	50.6
79.6	81.0	80.4	77.3	80.0	77.4	95.5	74.7
56.9	38.8	68.0	57.1	46.2	88.0	34.0	20.0
70.0	61.2	95.2	0.0	40.9	95.2	0.0	31.7
100.0	100.0	100.0	0	100.0	100.0	0	100.0
58.1	57.2	62.4	44.8	63.5	59.7	46.3	63.1
82.1	78.0	94.1	0	72.7	100.0	0	66.7
69.3	73.2	41.2	77.8	75.0	58.8	88.8	70.1
70.4	76.5	100.0	56.2	35.7	100.0	77.1	35.7
73.9	53.3	0	50.0	86.7	0	50.0	54.5
63.6	56.6	48.2	56.6	80.5	45.0	65.2	58.3
78.6	57.1	0	0	78.6	0	0	57.1
67.8	47.2	70.7	0	56.5	45.6	0	57.3
54.3	55.7	96.7	37.8	41.5	87.2	47.2	42.1
50.7	38.3	54.8	42.9	47.8	50.7	35.7	30.3
72.3	47.5	75.0	0	66.7	44.9	0	56.5
25.0	16.7	0.0	100.0	25.0	0.0	50.0	18.8
58.9	57.1	42.9	62.2	58.3	28.6	66.7	51.7
82.9	68.0	0	58.3	95.7	0	58.3	73.1
56.8	59.3	0	50.0	63.6	0	43.3	81.2
60.5	65.9	88.9	33.3	53.7	92.9	46.5	56.6
52.2	49.7	44.4	45.0	68.2	41.5	52.1	62.7
72.2	77.3	76.2	60.0	72.4	71.7	54.0	87.7
62.0	64.0	80.0	52.6	63.3	84.0	63.1	57.4
66.8	64.2	64.6	82.1	64.6	81.4	76.1	50.4
90.0	100.0	90.0	0	0	100.0	0	0
44.6	47.1	20.8	70.0	65.1	28.3	69.2	60.1
